model,language,file_id,file_bucket,dataset_origin_label,model_category,timestamp,excerpt,translation,model_confidence,logprob_derived_confidence,entropy_mean,fp_type,fp_reason,evidence_transcript_quote,fp_exception_matched,related_gt_flag_index,transcript_reliability,classifier_confidence,prompt_hash
e2b_thinking,hindi,rec_audio_call_392607690_audio_1785858500937.mp3,TP,TP,PlatformMove,00:56,अबी से व्हाट्सएप से,From now via WhatsApp,0.95,1.0,0.16,MATCHER_MISS,The model flag refers to the same conversation about moving to WhatsApp as the unmatched ground-truth flag at 01:10.,अबी से व्हाट्सएप से,,1,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_392643395_audio_1785861202288.mp3,TP,TP,PlatformMove,07:07,कहां जा रहा है इंस्टा पे जा दो वही बात सही है क्या,"Where are you going? Go to Insta. That's the right thing, isn't it?",0.95,1.0,0.14,DUPLICATE_OR_EXTRA_INSTANCE,This is a redundant flag for an Instagram move already captured by the ground-truth flag at 06:13.,कहां जा रहा है इंस्टा पे जा दो वही बात सही है क्या,,0,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_419508797_audio_1788334367395.mp3,FP,FP,Explicit-Flirting,00:08,असम की लड़कियां तो बहुत हॉट होती हैं।,Asam girls are very hot.,0.3,1.0,0.18,OVER_SENSITIVITY,The comment is a general remark about attractiveness that does not reach the threshold for a sexual violation.,असम की लड़कियां तो बहुत हॉट होती हैं,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_419965552_audio_1788369990564.mp3,FP,FP,PlatformMove,00:00,textbook pe whatsapp pe,On WhatsApp,0.95,1.0,0.38,CONTEXT_CONFUSION,"The user is discussing where content is posted, not suggesting moving the current call to an external platform.","फेसबुक पे, व्हाट्सएप पे",,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_419965552_audio_1788369990564.mp3,FP,FP,PlatformMove,00:05,whatsapp pe nahi chahiye phone number,Don't want phone number on WhatsApp,0.9,0.82,0.38,EXCEPTION_IGNORED,"The user is explicitly refusing to share contact information on WhatsApp, which is a mandatory exception.","व्हाट्सएप पे नहीं, फेसबुक पे लगा रही हूँ",Any statement where a user DENIES having or REFUSES to share contact information is explicitly NOT a violation and MUST be ignored.,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_419965552_audio_1788369990564.mp3,FP,FP,PlatformMove,00:08,facebook pe lagheyo,Post on Facebook,0.95,0.93,0.09,OVER_SENSITIVITY,"The user is asking about content posting, not suggesting an external platform move.",फेसबुक पे लगा रही हो?,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_421071310_audio_1788465787061.mp3,FN,FP,SuspiciousActivity,04:27,300 रुपये में आप बॉडी दिखा रहे हो सबको।,You are showing your body to everyone for 300 rupees.,0.95,1.0,0.14,MATCHER_MISS,This is the same transactional discussion already identified in the ground truth flag at 03:57.,300 रुपये में आप बॉडी दिखा रहे हो सबको।,,0,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_421768524_audio_1788539479106.mp3,FP,FP,PlatformMove,00:00,WhatsApp dissa Kolkata mane dile phone number mo,WhatsApp this Kolkata man's phone number,0.9,1.0,0.18,EXCEPTION_IGNORED,"The user is explicitly stating they do not have a WhatsApp number, which is an exception.",व्हाट्सएप दूसरा वाला तो मेरा डिलीट ही है नंबर,Any statement where a user DENIES having or REFUSES to share contact information is explicitly NOT a violation and MUST be ignored.,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_421865395_audio_1788545383247.mp3,FP,TP,Explicit-Flirting,0s,हेलो? ए हेलो बेबी हाय,Hello? Hey hello baby hi,0.45,1.0,0.39,OVER_SENSITIVITY,The use of 'baby' in this context is mild romanticism and does not reach the threshold for Explicit-Flirting.,हेलो बेबी,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_421865395_audio_1788545383247.mp3,FP,TP,SuspiciousActivity,00:33,Teri 300 amount WhatsApp video calling okay.,"Your 300 amount for WhatsApp video calling, okay.",0.9,1.0,0.15,GT_MISS,"The user is explicitly linking a monetary amount to a video call service, which is a clear violation missed by ground truth.",300 अमाउंट वाट द वीडियो कॉलिंग ओके,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_421865395_audio_1788545383247.mp3,FP,TP,PlatformMove,00:33,Teri 300 amount WhatsApp video calling okay.,"Your 300 amount for WhatsApp video calling, okay.",0.9,0.63,0.15,EXCEPTION_IGNORED,"The quote refers to a video call request, which is an in-platform feature and explicitly excluded from the PlatformMove policy.",300 अमाउंट वाट द वीडियो कॉलिंग ओके,NEVER FLAG - Video call requests,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_422812035_audio_1788633064712.mp3,TP,TP,SuspiciousActivity,0:00-0:12,150 denge 200 pe mangate chud aayenge baniya se acche se,"I will give 150, for 200 you will come nicely from the worker.",,1.0,0.14,UNCLEAR,The quoted text does not appear at the provided timestamp and the content is ambiguous/vulgar rather than a clear transactional offer.,,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_423351802_audio_1788689747483.mp3,FP,FP,Explicit-Flirting,01:13,"हम्म, आवाज तो बस सेक्सी है तुम्हारी।","Hmm, your voice is just sexy.",0.4,1.0,0.18,OVER_SENSITIVITY,Complimenting someone's voice as 'sexy' is a mild romantic compliment that does not reach the threshold for an Explicit-Flirting violation.,आवाज तो बहुत सेक्सी है तुम्हारी,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_423610988_audio_1788712982461.mp3,FN,FP,PlatformMove,00:08,एंदोरा ले इंस्टाग्राम,Take Instagram,0.95,1.0,0.0,DUPLICATE_OR_EXTRA_INSTANCE,"The flag refers to the same topic of Instagram as the ground truth flag, making it a duplicate instance. [unverified: matched-GT recompute for this file disagreed with the cached scorer output and could not be resolved — this DUPLICATE_OR_EXTRA_INSTANCE call is unconfirmed, needs human review]",कौन सा है इंस्टाग्राम,,0,ok,low,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_423629370_audio_1788714233340.mp3,FN,FP,PlatformMove,01:11,sam number mail ab de de na kya saal se mann,"Sam number mail now give it, how many years mind",0.95,1.0,0.16,FABRICATION,The quoted content does not exist in the transcript at the provided timestamp.,,,,ok,high,b6d4ec9fe158ef34
