file_path,expected_category,actual_classification,note
/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/hindi_pm/TP/Single/rec_default_426610557_audio_1788986010552.mp3,PlatformMove,[],"NO VIOLATION FOUND — folder assumed TP, please replace this file."
/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/hindi_sa/TP/Single/rec_audio_call_424735559_audio_1788811052808.mp3,SuspiciousActivity,[],"NO VIOLATION FOUND — folder assumed TP, please replace this file."
/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/hindi_sa/TP/Multi/rec_audio_call_421865395_audio_1788545383247.mp3,SuspiciousActivity,[],"NO VIOLATION FOUND — folder assumed TP, please replace this file."
/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/hindi_ef/TP/Single/rec_audio_call_425730841_audio_1788903925979.mp3,Explicit-Flirting,"[{""ground_truth_category"": ""SuspiciousActivity"", ""ground_truth_timestamp"": ""00:20"", ""ground_truth_excerpt"": ""\u0939\u092e \u0909\u0938 \u092a\u0930 \u0938\u0930\u094d\u0935\u093f\u0938 \u0926\u0947\u0924\u0947 \u0939\u0948\u0902 \u092b\u0941\u0932 \u092c\u0949\u0921\u0940 \u0915\u093e"", ""ground_truth_translation"": ""We provide full body service on that."", ""ground_truth_justification"": ""The user is explicitly offering a service (full body) in a context that implies a transactional nature for video calls."", ""ground_truth_confidence"": 0.8}]",Classifier found different categor(y/ies) ['SuspiciousActivity']; folder assumed Explicit-Flirting.
/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/tamil_sa/TP/Multi/rec_audio_call_424970880_audio_1788845652480.mp3,SuspiciousActivity,"[{""ground_truth_category"": ""Explicit-Flirting"", ""ground_truth_timestamp"": ""00:31"", ""ground_truth_excerpt"": ""\u0b89\u0b99\u0bcd\u0b95\u0bb3\u0bc1\u0b95\u0bcd\u0b95\u0bc1 \u0baa\u0bbf\u0b9f\u0bbf\u0b95\u0bcd\u0b95\u0bbe\u0ba4\u0bbe?"", ""ground_truth_translation"": ""Don't you like it?"", ""ground_truth_justification"": ""The user is attempting to steer the conversation towards sexual topics."", ""ground_truth_confidence"": 0.4}]",Classifier found different categor(y/ies) ['Explicit-Flirting']; folder assumed SuspiciousActivity.
/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/telugu_sa/TP/Single/rec_audio_call_426127729_audio_1788949472560.mp3,SuspiciousActivity,"[{""ground_truth_category"": ""PlatformMove"", ""ground_truth_timestamp"": ""00:32"", ""ground_truth_excerpt"": ""\u0c12\u0c15 300 \u0c2b\u0c4b\u0c28\u0c4d \u0c2a\u0c47 \u0c1a\u0c47\u0c38\u0c4d\u0c24\u0c3e\u0c28\u0c02\u0c1f\u0c47 \u0c28\u0c46\u0c02\u0c2c\u0c30\u0c4d \u0c07\u0c38\u0c4d\u0c24\u0c3e \u0c15\u0c26\u0c3e \u0c2e\u0c30\u0c3f"", ""ground_truth_translation"": ""If you PhonePe 300, I will give you my number, right?"", ""ground_truth_justification"": ""The user is explicitly offering to share their contact number in exchange for a payment via PhonePe."", ""ground_truth_confidence"": 0.9}]",Classifier found different categor(y/ies) ['PlatformMove']; folder assumed SuspiciousActivity.
/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/telugu_ef/TP/Multi/rec_default_426408577_audio_1788973914993.mp3,Explicit-Flirting,"[{""ground_truth_category"": ""PlatformMove"", ""ground_truth_timestamp"": ""02:44"", ""ground_truth_excerpt"": ""\u0c07\u0c02\u0c26\u0c41\u0c32\u0c4b \u0c15\u0c3e\u0c26\u0c41 \u0c35\u0c3e\u0c1f\u0c4d\u0c38\u0c3e\u0c2a\u0c4d \u0c32\u0c4b"", ""ground_truth_translation"": ""Not in this, on WhatsApp"", ""ground_truth_justification"": ""The user explicitly suggests moving the conversation to an external communication app (WhatsApp)."", ""ground_truth_confidence"": 0.9}, {""ground_truth_category"": ""PlatformMove"", ""ground_truth_timestamp"": ""08:06"", ""ground_truth_excerpt"": ""9030489785"", ""ground_truth_translation"": ""9030489785"", ""ground_truth_justification"": ""The user shared their personal phone number to facilitate communication outside the platform."", ""ground_truth_confidence"": 0.9}, {""ground_truth_category"": ""SuspiciousActivity"", ""ground_truth_timestamp"": ""10:57"", ""ground_truth_excerpt"": ""500 \u0c35\u0c47\u0c38\u0c4d\u0c24\u0c3e \u0c39\u0c3e\u0c2b\u0c4d \u0c06\u0c28\u0c4d \u0c05\u0c35\u0c30\u0c4d \u0c2e\u0c3e\u0c1f\u0c4d\u0c32\u0c3e\u0c21\u0c41"", ""ground_truth_translation"": ""I will pay 500, talk for half an hour"", ""ground_truth_justification"": ""The user is offering payment in exchange for a private video call session, which constitutes a suspicious transactional behavior."", ""ground_truth_confidence"": 0.8}]","Classifier found different categor(y/ies) ['PlatformMove', 'SuspiciousActivity']; folder assumed Explicit-Flirting."
/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/telugu_ef/TP/Multi/rec_default_426439325_audio_1788975665682.mp3,Explicit-Flirting,"[{""ground_truth_category"": ""PlatformMove"", ""ground_truth_timestamp"": ""00:50"", ""ground_truth_excerpt"": ""\u0c12\u0c15\u0c4d\u0c15 \u0c28\u0c3f\u0c2e\u0c3f\u0c37\u0c02 \u0c32\u0c48\u0c28\u0c4d \u0c32\u0c4b \u0c09\u0c02\u0c21\u0c41, \u0c07\u0c28\u0c4d\u0c38\u0c4d\u0c1f\u0c3e \u0c09\u0c02\u0c26\u0c3e?"", ""ground_truth_translation"": ""Stay on the line for a minute, do you have Insta?"", ""ground_truth_justification"": ""The user is asking for the other person's Instagram handle, which is an external communication platform."", ""ground_truth_confidence"": 0.9}]",Classifier found different categor(y/ies) ['PlatformMove']; folder assumed Explicit-Flirting.
/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/malayalam_sa/TP/Multi/rec_default_426608730_audio_1788985842618.mp3,SuspiciousActivity,[],"NO VIOLATION FOUND — folder assumed TP, please replace this file."
/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/malayalam_ef/TP/Multi/rec_audio_call_426339629_audio_1788968889098.mp3,Explicit-Flirting,"[{""ground_truth_category"": ""PlatformMove"", ""ground_truth_timestamp"": ""00:29"", ""ground_truth_excerpt"": ""\u0d35\u0d3e\u0d1f\u0d4d\u0d38\u0d3e\u0d2a\u0d4d\u0d2a\u0d3f\u0d32\u0d4b?"", ""ground_truth_translation"": ""On WhatsApp?"", ""ground_truth_justification"": ""The user suggests moving the conversation to an external platform (WhatsApp)."", ""ground_truth_confidence"": 0.9}, {""ground_truth_category"": ""PlatformMove"", ""ground_truth_timestamp"": ""00:30"", ""ground_truth_excerpt"": ""\u0d1f\u0d46\u0d32\u0d17\u0d4d\u0d30\u0d3e\u0d02"", ""ground_truth_translation"": ""Telegram"", ""ground_truth_justification"": ""The user suggests moving the conversation to an external platform (Telegram)."", ""ground_truth_confidence"": 0.9}, {""ground_truth_category"": ""SuspiciousActivity"", ""ground_truth_timestamp"": ""00:32"", ""ground_truth_excerpt"": ""\u0d0e\u0d24\u0d4d\u0d30 \u0d31\u0d47\u0d31\u0d4d\u0d31\u0d4d?"", ""ground_truth_translation"": ""How much is the rate?"", ""ground_truth_justification"": ""The user is asking for rates for a service in a context that implies a transaction outside the platform's standard coin system."", ""ground_truth_confidence"": 0.8}, {""ground_truth_category"": ""SuspiciousActivity"", ""ground_truth_timestamp"": ""00:41"", ""ground_truth_excerpt"": ""40 \u0d2e\u0d3f\u0d28\u0d3f\u0d31\u0d4d\u0d31\u0d3f\u0d28\u0d4d 250"", ""ground_truth_translation"": ""250 for 40 minutes"", ""ground_truth_justification"": ""The user is explicitly stating a rate for a video call service, indicating a transactional arrangement."", ""ground_truth_confidence"": 0.9}]","Classifier found different categor(y/ies) ['PlatformMove', 'SuspiciousActivity']; folder assumed Explicit-Flirting."
