model,language,n_files,tp,fp,fn,tn,precision,recall,specificity,accuracy
e2b_thinking,hindi,117,37,13,21,46,0.74,0.64,0.78,0.71
e2b_thinking,kannada,68,24,8,7,29,0.75,0.77,0.78,0.78
e2b_thinking,malayalam,58,20,6,15,17,0.77,0.57,0.74,0.64
e2b_thinking,tamil,65,19,10,15,21,0.66,0.56,0.68,0.62
e2b_thinking,telugu,73,35,2,21,15,0.95,0.62,0.88,0.68
e2b_nothinking,hindi,117,34,18,24,41,0.65,0.59,0.69,0.64
e2b_nothinking,kannada,68,19,18,12,19,0.51,0.61,0.51,0.56
e2b_nothinking,malayalam,58,23,9,12,14,0.72,0.66,0.61,0.64
e2b_nothinking,tamil,65,21,14,13,17,0.6,0.62,0.55,0.58
e2b_nothinking,telugu,73,33,5,23,12,0.87,0.59,0.71,0.62
e4b_thinking,hindi,117,48,11,10,48,0.81,0.83,0.81,0.82
e4b_thinking,tamil,65,26,13,8,18,0.67,0.76,0.58,0.68
e4b_thinking,telugu,1,1,0,0,0,1.0,1.0,,1.0
e4b_nothinking,hindi,116,11,2,46,57,0.85,0.19,0.97,0.59
e4b_nothinking,kannada,68,4,0,27,37,1.0,0.13,1.0,0.6
e4b_nothinking,malayalam,58,2,1,33,22,0.67,0.06,0.96,0.41
e4b_nothinking,tamil,65,6,1,28,30,0.86,0.18,0.97,0.55
e4b_nothinking,telugu,73,3,0,53,17,1.0,0.05,1.0,0.27
12b_nothinking,hindi,117,26,4,32,55,0.87,0.45,0.93,0.69
12b_nothinking,kannada,68,15,5,16,32,0.75,0.48,0.86,0.69
12b_nothinking,malayalam,58,8,2,27,21,0.8,0.23,0.91,0.5
12b_nothinking,tamil,65,11,6,23,25,0.65,0.32,0.81,0.55
12b_nothinking,telugu,73,13,2,43,15,0.87,0.23,0.88,0.38
e2b_conformer5s_text_nothinking,hindi,117,28,10,30,49,0.74,0.48,0.83,0.66
e2b_conformer5s_text_nothinking,kannada,68,16,9,15,28,0.64,0.52,0.76,0.65
e2b_conformer5s_text_nothinking,malayalam,58,10,7,25,16,0.59,0.29,0.7,0.45
e2b_conformer5s_text_nothinking,tamil,65,10,9,24,22,0.53,0.29,0.71,0.49
e2b_conformer5s_text_nothinking,telugu,73,21,3,35,14,0.88,0.38,0.82,0.48
e4b_conformer5s_text_nothinking,hindi,117,15,2,43,57,0.88,0.26,0.97,0.62
e4b_conformer5s_text_nothinking,kannada,68,6,1,25,36,0.86,0.19,0.97,0.62
e4b_conformer5s_text_nothinking,malayalam,58,3,2,32,21,0.6,0.09,0.91,0.41
e4b_conformer5s_text_nothinking,tamil,65,5,1,29,30,0.83,0.15,0.97,0.54
e4b_conformer5s_text_nothinking,telugu,73,9,0,47,17,1.0,0.16,1.0,0.36
gemini-3.5-flash-lite,hindi,117,21,4,37,55,0.84,0.36,0.93,0.65
gemini-3.5-flash-lite,kannada,68,10,0,21,37,1.0,0.32,1.0,0.69
gemini-3.5-flash-lite,malayalam,56,7,1,26,22,0.88,0.21,0.96,0.52
gemini-3.5-flash-lite,tamil,63,8,0,25,30,1.0,0.24,1.0,0.6
gemini-3.5-flash-lite,telugu,73,14,0,42,17,1.0,0.25,1.0,0.42
